page,ref,spill
387,"2 Kings 17:5-27",yes
388,"2 Kings 17:28-18:14",yes
389,"2 Kings 18:15-32",yes
390,"2 Kings 18:33-19:20",yes
391,"2 Kings 19:21-37",
392,"2 Kings 20:1-21:3",yes
393,"2 Kings 21:4-22:4",yes
394,"2 Kings 22:5-23:5",yes
395,"2 Kings 23:6-24",yes
396,"2 Kings 23:25-24:9",yes
397,"2 Kings 24:10-25:13",
398,"2 Kings 25:14-30",
399,"1 Chronicles 1:1-30",yes
400,"1 Chronicles 1:31-51",yes
401,"1 Chronicles 1:52-2:26",yes
402,"1 Chronicles 2:27-55",
403,"1 Chronicles 3:1-4:2",yes
404,"1 Chronicles 4:3-26",yes
405,"1 Chronicles 4:27-5:12",
406,"1 Chronicles 5:13-6:15",
407,"1 Chronicles 6:16-44",yes
408,"1 Chronicles 6:45-72",
409,"1 Chronicles 6:73-7:15",yes
410,"1 Chronicles 7:16-8:6",yes
411,"1 Chronicles 8:7-9:4",yes
412,"1 Chronicles 9:5-31",yes
413,"1 Chronicles 9:32-10:14",
414,"1 Chronicles 11:1-24",yes
415,"1 Chronicles 11:25-12:10",
416,"1 Chronicles 12:11-40",yes
417,"1 Chronicles 13:1-14:14",yes
418,"1 Chronicles 14:15-15:25",yes
419,"1 Chronicles 15:26-16:23",
420,"1 Chronicles 16:24-17:4",yes
421,"1 Chronicles 17:5-27",yes
422,"1 Chronicles 18:1-19:6",yes
423,"1 Chronicles 19:7-20:8",
424,"1 Chronicles 21:1-23",yes
425,"1 Chronicles 21:24-22:18",yes
426,"1 Chronicles 22:19-23:23",
427,"1 Chronicles 23:24-24:20",yes
428,"1 Chronicles 24:21-25:10",
429,"1 Chronicles 25:11-26:14",yes
430,"1 Chronicles 26:15-27:4",yes
431,"1 Chronicles 27:5-28",yes
432,"1 Chronicles 27:29-28:15",yes
433,"1 Chronicles 28:16-29:11",
434,"1 Chronicles 29:12-30",
435,"2 Chronicles 1:1-2:3",yes
436,"2 Chronicles 2:4-3:2",
437,"2 Chronicles 3:3-4:8",yes
438,"2 Chronicles 4:9-5:11",yes
439,"2 Chronicles 5:12-6:18",yes
440,"2 Chronicles 6:19-38",yes
441,"2 Chronicles 6:39-7:16",yes
442,"2 Chronicles 7:17-8:18",yes
443,"2 Chronicles 9:1-22",yes
444,"2 Chronicles 9:23-10:18",yes
445,"2 Chronicles 10:19-12:6",
446,"2 Chronicles 12:7-13:12",
447,"2 Chronicles 13:13-15:2",yes
448,"2 Chronicles 15:3-16:8",yes
449,"2 Chronicles 16:9-18:3",yes
450,"2 Chronicles 18:4-27",yes
451,"2 Chronicles 18:28-20:5",yes
452,"2 Chronicles 20:6-26",yes
453,"2 Chronicles 20:27-21:13",yes
454,"2 Chronicles 21:14-22:11",yes
455,"2 Chronicles 22:12-23:18",yes
456,"2 Chronicles 23:19-24:20",
457,"2 Chronicles 24:21-25:14",yes
458,"2 Chronicles 25:15-26:8",
459,"2 Chronicles 26:9-27:7",yes
